"filename", "language", "JSON", "XML", "Log", "C#", "YAML", "Markdown", "CSS", "PowerShell", "Properties", "comment", "blank", "total"
"e:\PROGS\Piano-Journey\Piano Journey\Assembly-CSharp-Editor-firstpass.csproj", "XML", 0, 743, 0, 0, 0, 0, 0, 0, 0, 7, 1, 751
"e:\PROGS\Piano-Journey\Piano Journey\Assembly-CSharp-firstpass.csproj", "XML", 0, 1264, 0, 0, 0, 0, 0, 0, 0, 7, 1, 1272
"e:\PROGS\Piano-Journey\Piano Journey\Assembly-CSharp.csproj", "XML", 0, 1287, 0, 0, 0, 0, 0, 0, 0, 7, 1, 1295
"e:\PROGS\Piano-Journey\Piano Journey\Assets\Inputs\InputMaster.cs", "C#", 0, 0, 0, 1101, 0, 0, 0, 0, 0, 5, 14, 1120
"e:\PROGS\Piano-Journey\Piano Journey\Assets\Inputs\PianoJourney.cs", "C#", 0, 0, 0, 1090, 0, 0, 0, 0, 0, 3, 13, 1106
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 2, 13
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\composing\Pattern.md", "Markdown", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 28, 121
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\custom-data-structures\Custom-chunks.md", "Markdown", 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 54, 217
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\custom-data-structures\Custom-meta-events.md", "Markdown", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 38, 154
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\devices\Common-problems.md", "Markdown", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 5, 13
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\devices\Devices-connector.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 12, 35
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\devices\Input-device.md", "Markdown", 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 39, 172
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\devices\Output-device.md", "Markdown", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 25, 83
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\devices\Overview.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 11, 28
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\file-reading-writing\MIDI-file-reading.md", "Markdown", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 11, 46
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\file-reading-writing\MIDI-file-writing.md", "Markdown", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 9, 31
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing\BarBeatFractionTimeSpan.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 8, 22
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing\BarBeatTicksTimeSpan.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 8, 22
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing\Chords.md", "Markdown", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 12, 46
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing\Events-absolute-time.md", "Markdown", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 13, 41
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing\Events-managers-overview.md", "Markdown", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 19, 58
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing\MetricTimeSpan.md", "Markdown", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 8, 51
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing\MidiTimeSpan.md", "Markdown", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 8, 19
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing\MusicalTimeSpan.md", "Markdown", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 9, 31
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing\Notes.md", "Markdown", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 25, 71
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing\Tempo-map.md", "Markdown", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 17, 60
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing\Time-and-length-overview.md", "Markdown", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 45, 125
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\music-theory\Chord-progression.md", "Markdown", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 11, 31
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\music-theory\Chord.md", "Markdown", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 20, 100
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\music-theory\Interval.md", "Markdown", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 14, 58
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\music-theory\Note.md", "Markdown", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 15, 47
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\music-theory\Octave.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 12, 35
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\music-theory\Overview.md", "Markdown", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\music-theory\Scale.md", "Markdown", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 19, 58
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\playback\Common-problems.md", "Markdown", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 15, 40
