Date : 2022-02-08 18:19:37
Directory : e:\PROGS\Piano-Journey\Piano Journey
Total : 644 files,  48890 codes, 26473 comments, 13149 blanks, all 88512 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C#         |        525 |     38,261 |     26,376 |     11,919 |     76,556 |
| XML        |         10 |      5,371 |         42 |         18 |      5,431 |
| Markdown   |         72 |      2,201 |          0 |        858 |      3,059 |
| JSON       |          7 |      1,147 |         32 |          2 |      1,181 |
| YAML       |         20 |      1,057 |          1 |        161 |      1,219 |
| CSS        |          1 |        392 |         22 |        113 |        527 |
| Log        |          3 |        294 |          0 |         35 |        329 |
| PowerShell |          5 |        164 |          0 |         42 |        206 |
| Properties |          1 |          3 |          0 |          1 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                             |        644 |     48,890 |     26,473 |     13,149 |     88,512 |
| Assets                                                                                                                                                        |        633 |     42,845 |     26,431 |     13,106 |     82,382 |
| Assets\Inputs                                                                                                                                                 |          2 |      2,191 |          8 |         27 |      2,226 |
| Assets\MIDI                                                                                                                                                   |        593 |     34,283 |     26,157 |     11,767 |     72,207 |
| Assets\MIDI\drywetmidi-5.2.1                                                                                                                                  |        593 |     34,283 |     26,157 |     11,767 |     72,207 |
| Assets\MIDI\drywetmidi-5.2.1\.github                                                                                                                          |          1 |         10 |          1 |          2 |         13 |
| Assets\MIDI\drywetmidi-5.2.1\Docs                                                                                                                             |         76 |      2,462 |         54 |        903 |      3,419 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\articles                                                                                                                    |         41 |      1,852 |          0 |        765 |      2,617 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\articles\composing                                                                                                          |          1 |         93 |          0 |         28 |        121 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\articles\custom-data-structures                                                                                             |          2 |        279 |          0 |         92 |        371 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\articles\devices                                                                                                            |          5 |        239 |          0 |         92 |        331 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\articles\file-reading-writing                                                                                               |          2 |         57 |          0 |         20 |         77 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing                                                                                                |         11 |        374 |          0 |        172 |        546 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\articles\music-theory                                                                                                       |          7 |        251 |          0 |         96 |        347 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\articles\playback                                                                                                           |          6 |        324 |          0 |        138 |        462 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\articles\recording                                                                                                          |          1 |         32 |          0 |         15 |         47 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\articles\tools                                                                                                              |          5 |        150 |          0 |        104 |        254 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete                                                                                                                    |         30 |        154 |          0 |         22 |        176 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS1                                                                                                               |          3 |         18 |          0 |          2 |         20 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS2                                                                                                               |          3 |         14 |          0 |          1 |         15 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS3                                                                                                               |          3 |         13 |          0 |          3 |         16 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS4                                                                                                               |          3 |         13 |          0 |          3 |         16 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS5                                                                                                               |          3 |          6 |          0 |          1 |          7 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS6                                                                                                               |          3 |         18 |          0 |          3 |         21 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS7                                                                                                               |          3 |          5 |          0 |          0 |          5 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS8                                                                                                               |          3 |          5 |          0 |          0 |          5 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS9                                                                                                               |          3 |          5 |          0 |          0 |          5 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\templates                                                                                                                   |          1 |        392 |         22 |        113 |        527 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\templates\dwm                                                                                                               |          1 |        392 |         22 |        113 |        527 |
| Assets\MIDI\drywetmidi-5.2.1\Docs\templates\dwm\styles                                                                                                        |          1 |        392 |         22 |        113 |        527 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi                                                                                                                       |        491 |     30,348 |     26,100 |     10,575 |     67,023 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common                                                                                                                |         18 |      1,272 |        752 |        435 |      2,459 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\DataTypes                                                                                                      |          4 |        473 |        458 |        143 |      1,074 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\Parsing                                                                                                        |          4 |        150 |          0 |         45 |        195 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing                                                                                                             |         26 |      1,426 |      1,507 |        499 |      3,432 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Actions                                                                                                     |         13 |        432 |          0 |        166 |        598 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Actions\SetProgram                                                                                          |          3 |         95 |          0 |         39 |        134 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Descriptors                                                                                                 |          2 |        124 |        110 |         42 |        276 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Selections                                                                                                  |          2 |          8 |         16 |          2 |         26 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Transformations                                                                                             |          2 |          8 |         12 |          2 |         22 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core                                                                                                                  |        146 |      6,364 |      4,279 |      1,980 |     12,623 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Chunks                                                                                                           |          7 |        466 |        433 |        179 |      1,078 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ChunksConverters                                                                                                 |          5 |        230 |         30 |         83 |        343 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Chunks\Info                                                                                                      |          3 |         73 |         60 |         27 |        160 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Collections                                                                                                      |          2 |        205 |        281 |         79 |        565 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Equality                                                                                                         |          7 |        377 |         42 |         93 |        512 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Equality\Chunk                                                                                                   |          2 |         63 |          8 |         17 |         88 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Equality\Event                                                                                                   |          3 |        256 |         16 |         60 |        332 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Equality\File                                                                                                    |          2 |         58 |         18 |         16 |         92 |
